;2016;2017;2018;2019
"Дата отчета";;31.01.2019;08.08.2019;27.02.2020
"Производство стали, млн т";;14,0;13,0;13,8
"Пр-во продукции, млн т";;13,9;13,5;13,8
"Продажи стали, млн т";;13,0;12,2;13,5
"Выручка, млрд руб";518,2;631,3;785,2;769,8
"EBITDA, млрд руб";103,6;153,0;236,8;168,2
"Чистая прибыль, млрд руб";-12,6;44,3;150,8;23,6
"FCF, млрд руб";44,3;77,1;121,6;94,2
"Опер. расходы, млрд руб";41,9;41,8;63,5;62,5
"Себестоимость, млрд руб";371,0;436,4;502,2;535,0
"CAPEX, млрд руб";28,8;35,2;32,7;49,3
"Процентные расходы, млрд руб";32,3;25,5;22,5;21,7
"Чистые активы, млрд руб";45,5;118,1;116,8;103,8
"Долг, млрд руб";396,0;314,3;317,0;293,4
"Наличность, млрд руб";77,7;85,5;74,1;88,1
"Чистый долг, млрд руб";322,5;228,9;242,9;205,3
"Баланс стоимость, млрд руб";-33,6;49,6;42,5;55,5
"Рентаб EBITDA, %";20,0%;24,2%;30,2%;21,8%
"Чистая рентаб, %";-2,4%;7,0%;19,2%;3,1%
"ROE, %";-27,8%;37,5%;129,2%;22,7%
"Долг/EBITDA, ";3,11;1,50;1,03;1,22
"CAPEX/Выручка, %";6%;6%;4%;6%
